market,date,block,mcp_rs_mwh
DAM,2026-05-14,49,1566.97
DAM,2026-05-14,50,1563.8
DAM,2026-05-14,51,1563.74
DAM,2026-05-14,52,1563.33
DAM,2026-05-14,53,1537.39
DAM,2026-05-14,54,1537.52
DAM,2026-05-14,55,1618.6
DAM,2026-05-14,56,1749.42
DAM,2026-05-14,57,1929.24
DAM,2026-05-14,58,2100.19
DAM,2026-05-14,59,2500.85
DAM,2026-05-14,60,2560.23
DAM,2026-05-14,61,3269.6
DAM,2026-05-14,62,3301.19
DAM,2026-05-14,63,3391.05
DAM,2026-05-14,64,3500.41
DAM,2026-05-14,65,3500.98
DAM,2026-05-14,66,3500.3
DAM,2026-05-14,67,3587.17
DAM,2026-05-14,68,3665.97
DAM,2026-05-14,69,3759.96
DAM,2026-05-14,70,3784.42
DAM,2026-05-14,71,4200.18
DAM,2026-05-14,72,4200.75
DAM,2026-05-14,73,4050.39
DAM,2026-05-14,74,5001.99
DAM,2026-05-14,75,10000.0
DAM,2026-05-14,76,10000.0
DAM,2026-05-14,77,10000.0
DAM,2026-05-14,78,10000.0
DAM,2026-05-14,79,10000.0
DAM,2026-05-14,80,10000.0
DAM,2026-05-14,81,10000.0
DAM,2026-05-14,82,10000.0
DAM,2026-05-14,83,10000.0
DAM,2026-05-14,84,10000.0
DAM,2026-05-14,85,10000.0
DAM,2026-05-14,86,10000.0
DAM,2026-05-14,87,10000.0
DAM,2026-05-14,88,10000.0
DAM,2026-05-14,89,10000.0
DAM,2026-05-14,90,10000.0
DAM,2026-05-14,91,10000.0
DAM,2026-05-14,92,10000.0
DAM,2026-05-14,93,10000.0
DAM,2026-05-14,94,10000.0
DAM,2026-05-14,95,10000.0
DAM,2026-05-14,96,10000.0
DAM,2026-05-15,1,10000.0
DAM,2026-05-15,2,10000.0
DAM,2026-05-15,3,10000.0
DAM,2026-05-15,4,10000.0
DAM,2026-05-15,5,10000.0
DAM,2026-05-15,6,10000.0
DAM,2026-05-15,7,10000.0
DAM,2026-05-15,8,10000.0
DAM,2026-05-15,9,10000.0
DAM,2026-05-15,10,10000.0
DAM,2026-05-15,11,10000.0
DAM,2026-05-15,12,10000.0
DAM,2026-05-15,13,6899.07
DAM,2026-05-15,14,5483.75
DAM,2026-05-15,15,4902.48
DAM,2026-05-15,16,4450.33
DAM,2026-05-15,17,4218.55
DAM,2026-05-15,18,4539.68
DAM,2026-05-15,19,4575.96
DAM,2026-05-15,20,4539.85
DAM,2026-05-15,21,4212.77
DAM,2026-05-15,22,4382.15
DAM,2026-05-15,23,4489.26
DAM,2026-05-15,24,4539.02
DAM,2026-05-15,25,5171.91
DAM,2026-05-15,26,4799.94
DAM,2026-05-15,27,4382.17
DAM,2026-05-15,28,4100.36
DAM,2026-05-15,29,3630.22
DAM,2026-05-15,30,3232.26
DAM,2026-05-15,31,3000.02
DAM,2026-05-15,32,2820.36
DAM,2026-05-15,33,2500.03
DAM,2026-05-15,34,2021.57
DAM,2026-05-15,35,2000.08
DAM,2026-05-15,36,1989.22
DAM,2026-05-15,37,1980.35
DAM,2026-05-15,38,1929.69
DAM,2026-05-15,39,1969.44
DAM,2026-05-15,40,1979.11
DAM,2026-05-15,41,1929.49
DAM,2026-05-15,42,1829.21
DAM,2026-05-15,43,1800.23
DAM,2026-05-15,44,1795.21
DAM,2026-05-15,45,1623.13
DAM,2026-05-15,46,1623.24
DAM,2026-05-15,47,1623.44
DAM,2026-05-15,48,1610.41
DAM,2026-05-15,49,1618.21
DAM,2026-05-15,50,1610.85
DAM,2026-05-15,51,1600.96
DAM,2026-05-15,52,1600.8
DAM,2026-05-15,53,1618.2
DAM,2026-05-15,54,1623.27
DAM,2026-05-15,55,1707.26
DAM,2026-05-15,56,1809.53
DAM,2026-05-15,57,1969.96
DAM,2026-05-15,58,2141.57
DAM,2026-05-15,59,2510.55
DAM,2026-05-15,60,2640.18
DAM,2026-05-15,61,3098.59
DAM,2026-05-15,62,3175.48
DAM,2026-05-15,63,3301.09
DAM,2026-05-15,64,3292.14
DAM,2026-05-15,65,3303.61
DAM,2026-05-15,66,3314.68
DAM,2026-05-15,67,3441.13
DAM,2026-05-15,68,3460.24
DAM,2026-05-15,69,3549.38
DAM,2026-05-15,70,3590.8
DAM,2026-05-15,71,3684.96
DAM,2026-05-15,72,4146.34
DAM,2026-05-15,73,4064.23
DAM,2026-05-15,74,5000.7
DAM,2026-05-15,75,10000.0
DAM,2026-05-15,76,10000.0
DAM,2026-05-15,77,10000.0
DAM,2026-05-15,78,10000.0
DAM,2026-05-15,79,10000.0
DAM,2026-05-15,80,10000.0
DAM,2026-05-15,81,10000.0
DAM,2026-05-15,82,10000.0
DAM,2026-05-15,83,10000.0
DAM,2026-05-15,84,10000.0
DAM,2026-05-15,85,10000.0
DAM,2026-05-15,86,10000.0
DAM,2026-05-15,87,10000.0
DAM,2026-05-15,88,10000.0
DAM,2026-05-15,89,10000.0
DAM,2026-05-15,90,10000.0
DAM,2026-05-15,91,10000.0
DAM,2026-05-15,92,10000.0
DAM,2026-05-15,93,10000.0
DAM,2026-05-15,94,10000.0
DAM,2026-05-15,95,10000.0
DAM,2026-05-15,96,10000.0
DAM,2026-05-16,1,10000.0
DAM,2026-05-16,2,10000.0
DAM,2026-05-16,3,10000.0
DAM,2026-05-16,4,10000.0
DAM,2026-05-16,5,10000.0
DAM,2026-05-16,6,10000.0
